state;year;UG;Gender_M
AK;1980;0.5;
AK;1984;0.04;
AK;1988;-0.09;
AK;1992;0.27;0.53
AK;1996;-0.01;0.52
AK;2000;-0.1;0.52
AK;2004;0.17;0.52
AK;2008;-0.03;0.52
AK;2012;-0.08;0.52
AK;2016;-0.01;0.53
AL;1980;0.39;
AL;1984;0.04;
AL;1988;-0.22;
AL;1992;0.09;0.47
AL;1996;-0.29;0.47
AL;2000;-0.08;0.47
AL;2004;0.12;0.48
AL;2008;0.27;0.48
AL;2012;-0.27;0.48
AL;2016;-0.19;0.48
AR;1980;0.19;
AR;1984;0;
AR;1988;-0.13;
AR;1992;0.01;0.47
AR;1996;-0.13;0.48
AR;2000;-0.17;0.48
AR;2004;0.14;0.48
AR;2008;0.06;0.49
AR;2012;-0.03;0.49
AR;2016;-0.44;0.49
AZ;1980;0.03;
AZ;1984;-0.16;
AZ;1988;0.02;
AZ;1992;0.42;0.49
AZ;1996;-0.13;0.49
AZ;2000;-0.13;0.5
AZ;2004;0.04;0.49
AZ;2008;0.32;0.49
AZ;2012;-0.16;0.49
AZ;2016;-0.3;0.49
CA;1980;0.06;
CA;1984;0.05;
CA;1988;-0.26;
CA;1992;0.82;0.5
CA;1996;-0.23;0.49
CA;2000;-0.23;0.49
CA;2004;0.15;0.49
CA;2008;0.35;0.49
CA;2012;-0.07;0.49
CA;2016;-0.38;0.49
CO;1980;-0.09;
CO;1984;-0.05;
CO;1988;0.07;
CO;1992;0.05;0.49
CO;1996;-0.21;0.5
CO;2000;-0.2;0.5
CO;2004;0.45;0.5
CO;2008;-0.04;0.5
CO;2012;0.08;0.5
CO;2016;-0.54;0.5
CT;1980;-0.09;
CT;1984;-0.24;
CT;1988;-0.36;
CT;1992;1;0.48
CT;1996;-0.17;0.48
CT;2000;-0.52;0.48
CT;2004;0.61;0.48
CT;2008;0.16;0.48
CT;2012;0.05;0.48
CT;2016;-0.35;0.48
DC;1980;0.16;
DC;1984;0.02;
DC;1988;-0.38;
DC;1992;0.76;0.46
DC;1996;-0.01;0.46
DC;2000;-0.3;0.46
DC;2004;0.24;0.46
DC;2008;0.02;0.47
DC;2012;-0.03;0.47
DC;2016;-0.28;0.47
DE;1980;0.19;
DE;1984;-0.19;
DE;1988;-0.39;
DE;1992;0.54;0.48
DE;1996;0;0.48
DE;2000;-0.08;0.48
DE;2004;0.14;0.48
DE;2008;0.2;0.48
DE;2012;-0.13;0.48
DE;2016;-0.33;0.48
FL;1980;-0.05;
FL;1984;-0.04;
FL;1988;-0.15;
FL;1992;0.46;0.48
FL;1996;-0.27;0.48
FL;2000;-0.23;0.48
FL;2004;-0.02;0.48
FL;2008;0.7;0.48
FL;2012;-0.18;0.48
FL;2016;-0.33;0.48
GA;1980;-0.02;
GA;1984;-0.05;
GA;1988;-0.11;
GA;1992;0.25;0.48
GA;1996;-0.22;0.48
GA;2000;-0.22;0.49
GA;2004;0.2;0.49
GA;2008;0.17;0.48
GA;2012;-0.07;0.48
GA;2016;-0.34;0.48
HI;1980;-0.22;
HI;1984;0.06;
HI;1988;-0.41;
HI;1992;0.72;0.51
HI;1996;0.4;0.5
HI;2000;-0.32;0.5
HI;2004;-0.24;0.5
HI;2008;0.48;0.5
HI;2012;-0.17;0.5
HI;2016;-0.39;0.5
IA;1980;-0.06;
IA;1984;0.06;
IA;1988;-0.4;
IA;1992;0.07;0.48
IA;1996;-0.13;0.48
IA;2000;-0.16;0.48
IA;2004;0.36;0.49
IA;2008;-0.02;0.49
IA;2012;-0.22;0.49
IA;2016;-0.23;0.49
ID;1980;0.17;
ID;1984;-0.05;
ID;1988;-0.24;
ID;1992;0.21;0.49
