"SAGDP2N Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004"
"00000","United States *","1","All industry total",10581822.0,10936418.0,11458246.0,12213730.0
"00000","United States *","2","  Private industries",9188887.0,9462020.0,9905899.0,10582459.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",99836.0,95629.0,113953.0,142945.0
"00000","United States *","4","      Farms",78093.0,74033.0,91105.0,119356.0
"00000","United States *","5","      Forestry, fishing, and related activities",21743.0,21596.0,22848.0,23589.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",123924.0,112417.0,139000.0,166517.0
"00000","United States *","7","      Oil and gas extraction",76129.0,69887.0,92898.0,112985.0
"00000","United States *","8","      Mining (except oil and gas)",28059.0,27319.0,29245.0,33624.0
"00000","United States *","9","      Support activities for mining",19736.0,15210.0,16857.0,19909.0
"00000","United States *","10","    Utilities",181332.0,177618.0,184029.0,199216.0
"00000","United States *","11","    Construction",486485.0,493560.0,525240.0,584643.0
"00000","United States *","12","    Manufacturing",1473850.0,1468492.0,1524213.0,1608098.0
"00000","United States *","13","      Durable goods manufacturing",833390.0,832842.0,863191.0,905121.0
"00000","United States *","14","        Wood product manufacturing",27235.0,27265.0,28722.0,32587.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",41294.0,41807.0,42014.0,45281.0
"00000","United States *","16","        Primary metal manufacturing",40272.0,41679.0,39271.0,54987.0
"00000","United States *","17","        Fabricated metal product manufacturing",110912.0,106091.0,108487.0,114688.0
"00000","United States *","18","        Machinery manufacturing",105362.0,98930.0,97396.0,104147.0
"00000","United States *","19","        Computer and electronic product manufacturing",173501.0,172901.0,193484.0,201504.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",44279.0,43694.0,45550.0,42070.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",124964.0,135236.0,143151.0,139137.0
"00000","United States *","22","        Other transportation equipment manufacturing",76873.0,72964.0,72566.0,75857.0
"00000","United States *","23","        Furniture and related product manufacturing",31202.0,31242.0,30384.0,30984.0
"00000","United States *","24","        Miscellaneous manufacturing",57496.0,61032.0,62166.0,63878.0
"00000","United States *","25","      Nondurable goods manufacturing",640460.0,635650.0,661023.0,702977.0
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",174192.0,175591.0,178948.0,175834.0
"00000","United States *","27","        Textile mills and textile product mills",24883.0,24026.0,18713.0,22155.0
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",19462.0,18138.0,15488.0,14581.0
"00000","United States *","29","        Paper manufacturing",53503.0,54119.0,51028.0,52744.0
"00000","United States *","30","        Printing and related support activities",42721.0,42136.0,42189.0,42754.0
"00000","United States *","31","        Petroleum and coal products manufacturing",68345.0,50723.0,81259.0,104214.0
"00000","United States *","32","        Chemical manufacturing",193820.0,207881.0,210668.0,226843.0
"00000","United States *","33","        Plastics and rubber products manufacturing",63534.0,63037.0,62730.0,63852.0
"00000","United States *","34","    Wholesale trade",613752.0,613147.0,641450.0,697110.0
"00000","United States *","35","    Retail trade",709492.0,732632.0,769610.0,795568.0
"00000","United States *","36","    Transportation and warehousing",308058.0,305677.0,321444.0,352062.0
"00000","United States *","37","      Air transportation",49207.0,52049.0,54620.0,60834.0
"00000","United States *","38","      Rail transportation",23335.0,21723.0,23446.0,25241.0
"00000","United States *","39","      Water transportation",8256.0,7038.0,8225.0,8639.0
"00000","United States *","40","      Truck transportation",97233.0,97118.0,101405.0,109115.0
"00000","United States *","41","      Transit and ground passenger transportation",19039.0,19463.0,21413.0,23042.0
"00000","United States *","42","      Pipeline transportation",16074.0,10037.0,10330.0,10650.0
"00000","United States *","43","      Other transportation and support activities",69126.0,71695.0,73270.0,80941.0
"00000","United States *","44","      Warehousing and storage",25789.0,26553.0,28735.0,33599.0
"00000","United States *","45","    Information",502386.0,550582.0,564861.0,620363.0
"00000","United States *","46","      Publishing industries (except Internet)",116132.0,136931.0,145596.0,160590.0
"00000","United States *","47","      Motion picture and sound recording industries",65307.0,71670.0,68541.0,74482.0
"00000","United States *","48","      Broadcasting (except Internet) and telecommunications",281430.0,280806.0,287605.0,311133.0
"00000","United States *","49","      Data processing, hosting, and other information services",39517.0,61176.0,63119.0,74158.0
"00000","United States *","50","    Finance, insurance, real estate, rental, and leasing",2128101.0,2216960.0,2295918.0,2389114.0
"00000","United States *","51","      Finance and insurance",803103.0,816432.0,846319.0,872387.0
"00000","United States *","52","        Monetary Authorities- central bank, credit intermediation, and related services",343229.0,385582.0,401385.0,374341.0
"00000","United States *","53","        Securities, commodity contracts, and other financial investments and related activities",182632.0,162625.0,144082.0,154873.0
"00000","United States *","54","        Insurance carriers and related activities",262034.0,251216.0,280678.0,322198.0
"00000","United States *","55","        Funds, trusts, and other financial vehicles",15207.0,17009.0,20175.0,20974.0
"00000","United States *","56","      Real estate and rental and leasing",1324998.0,1400528.0,1449599.0,1516727.0
"00000","United States *","57","        Real estate",1176613.0,1254091.0,1307102.0,1377949.0
"00000","United States *","58","        Rental and leasing services and lessors of nonfinancial intangible assets",148385.0,146436.0,142496.0,138779.0
"00000","United States *","59","    Professional and business services",1155475.0,1189856.0,1247434.0,1341035.0
"00000","United States *","60","      Professional, scientific, and technical services",686776.0,714721.0,741331.0,792390.0
"00000","United States *","61","        Legal services",140667.0,149234.0,165258.0,180814.0
"00000","United States *","62","        Computer systems design and related services",118177.0,110197.0,115755.0,122926.0
"00000","United States *","63","        Miscellaneous professional, scientific, and technical services",427932.0,455290.0,460319.0,488650.0
"00000","United States *","64","      Management of companies and enterprises",173620.0,174967.0,185600.0,203128.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",295080.0,300167.0,320502.0,345516.0
"00000","United States *","66","        Administrative and support services",266609.0,269809.0,288256.0,313574.0
"00000","United States *","67","        Waste management and remediation services",28472.0,30358.0,32246.0,31942.0
"00000","United States *","68","    Educational services, health care, and social assistance",749895.0,807030.0,862800.0,927339.0
"00000","United States *","69","      Educational services",101705.0,106491.0,116775.0,129073.0
"00000","United States *","70","      Health care and social assistance",648190.0,700539.0,746025.0,798266.0
"00000","United States *","71","        Ambulatory health care services",310977.0,334115.0,350508.0,375151.0
"00000","United States *","72","        Hospitals",206874.0,225911.0,244874.0,265194.0
"00000","United States *","73","        Nursing and residential care facilities",74506.0,80809.0,85565.0,90177.0
"00000","United States *","74","        Social assistance",55832.0,59704.0,65077.0,67743.0
"00000","United States *","75","    Arts, entertainment, recreation, accommodation, and food services",390728.0,413527.0,432128.0,461170.0
"00000","United States *","76","      Arts, entertainment, and recreation",96728.0,103788.0,111038.0,117867.0
"00000","United States *","77","        Performing arts, spectator sports, museums, and related activities",51823.0,56941.0,61964.0,65084.0
"00000","United States *","78","        Amusement, gambling, and recreation industries",44905.0,46847.0,49074.0,52783.0
"00000","United States *","79","      Accommodation and food services",293999.0,309738.0,321090.0,343303.0
"00000","United States *","80","        Accommodation",90080.0,92676.0,94153.0,102386.0
"00000","United States *","81","        Food services and drinking places",203919.0,217062.0,226937.0,240917.0
"00000","United States *","82","    Other services (except government and government enterprises)",265574.0,284895.0,283818.0,297278.0
"00000","United States *","83","  Government and government enterprises",1392934.0,1474399.0,1552345.0,1631271.0
"00000","United States *","84","    Federal civilian",250648.0,269639.0,284775.0,299366.0
"00000","United States *","85","    Military",179775.0,192849.0,214105.0,226147.0
"00000","United States *","86","    State and local",962515.0,1011912.0,1053465.0,1105758.0
"00000","United States *","","Addenda:","","","",""
"00000","United States *","87","Natural resources and mining",223759.0,208044.0,252952.0,309463.0
"00000","United States *","88","Trade",1323242.0,1345780.0,1411060.0,1492679.0
"00000","United States *","89","Transportation and utilities",489392.0,483298.0,505475.0,551275.0
"00000","United States *","90","Manufacturing and information",1976241.0,2019074.0,2089069.0,2228462.0
"00000","United States *","91","Private goods-producing industries 2/",2184094.0,2170097.0,2302407.0,2502204.0
"00000","United States *","92","Private services-providing industries 3/",7004793.0,7291922.0,7603492.0,8080255.0
"00000","United States *","100","All industry total, overseas activity",66286.0,67598.0,72769.0,75969.0
"00000","United States *","101","Government and government enterprises, overseas activity",66286.0,67598.0,72769.0,75969.0
"00000","United States *","102","Federal civilian, overseas activity",3325.0,3405.0,3762.0,3962.0
"00000","United States *","103","Military, overseas activity",62961.0,64192.0,69007.0,72006.0
"01000","Alabama","1","All industry total",123035.3,128117.4,133969.3,146886.7
"01000","Alabama","2","  Private industries",103191.7,106833.8,111367.7,123086.0
"01000","Alabama","3","    Agriculture, forestry, fishing and hunting",1988.9,1588.0,2175.0,2925.3
"01000","Alabama","4","      Farms",1594.9,1201.1,1756.2,2419.2
"01000","Alabama","5","      Forestry, fishing, and related activities",394.0,386.9,418.8,506.2
"01000","Alabama","6","    Mining, quarrying, and oil and gas extraction",1379.7,1207.9,1588.1,1960.5
"01000","Alabama","7","      Oil and gas extraction",514.6,440.9,751.6,960.7
"01000","Alabama","8","      Mining (except oil and gas)",781.4,703.7,777.3,931.1
"01000","Alabama","9","      Support activities for mining",83.7,63.2,59.3,68.8
"01000","Alabama","10","    Utilities",3572.1,3443.6,3622.8,3913.7
"01000","Alabama","11","    Construction",6200.0,6208.3,6454.7,6830.1
"01000","Alabama","12","    Manufacturing",21191.9,21249.6,21743.9,26408.3
"01000","Alabama","13","      Durable goods manufacturing",11254.8,11815.4,12023.7,15085.0
"01000","Alabama","14","        Wood product manufacturing",984.0,951.0,980.1,1228.2
"01000","Alabama","15","        Nonmetallic mineral product manufacturing",689.6,725.7,706.4,801.6
