State;Year;Real GDP (1997 chained millions)
Alabama;1976;
Alaska;1976;
Arizona;1976;
Arkansas;1976;
California;1976;
Colorado;1976;
Connecticut;1976;
Delaware;1976;
District of Columbia;1976;
Far West;1976;
Florida;1976;
Georgia;1976;
Great Lakes;1976;
Hawaii;1976;
Idaho;1976;
Illinois;1976;
Indiana;1976;
Iowa;1976;
Kansas;1976;
Kentucky;1976;
Louisiana;1976;
Maine;1976;
Maryland;1976;
Massachusetts;1976;
Michigan;1976;
Mideast;1976;
Minnesota;1976;
Mississippi;1976;
Missouri;1976;
Montana;1976;
Nebraska;1976;
Nevada;1976;
New England;1976;
New Hampshire;1976;
New Jersey;1976;
New Mexico;1976;
New York;1976;
North Carolina;1976;
North Dakota;1976;
Ohio;1976;
Oklahoma;1976;
Oregon;1976;
Pennsylvania;1976;
Plains;1976;
Rhode Island;1976;
Rocky Mountain;1976;
South Carolina;1976;
South Dakota;1976;
Southeast;1976;
Southwest;1976;
Tennessee;1976;
Texas;1976;
Utah;1976;
Vermont;1976;
Virginia;1976;
Washington;1976;
West Virginia;1976;
Wisconsin;1976;
Wyoming;1976;
Alabama;1977;59478,4
Alaska;1977;16933,3
Arizona;1977;44588,9
Arkansas;1977;32633,1
California;1977;523795,5
Colorado;1977;59266,9
Connecticut;1977;70360,8
Delaware;1977;15636
District of Columbia;1977;44477
Far West;1977;718530,5
Florida;1977;154583,7
Georgia;1977;91572,4
Great Lakes;1977;853819,3
Hawaii;1977;23679,9
Idaho;1977;14817
Illinois;1977;253087,4
Indiana;1977;102597,9
Iowa;1977;53650,3
Kansas;1977;46101
Kentucky;1977;61045,7
Louisiana;1977;92827,1
Maine;1977;17882,1
Maryland;1977;86653,8
Massachusetts;1977;116848
Michigan;1977;203194,4
Mideast;1977;955420
Minnesota;1977;79670,6
Mississippi;1977;34360,2
Missouri;1977;92536,4
Montana;1977;13956,1
Nebraska;1977;28951
Nevada;1977;18288,9
New England;1977;242741,9
New Hampshire;1977;13560
New Jersey;1977;152456,6
New Mexico;1977;22371,5
New York;1977;432370,9
North Carolina;1977;100295,1
North Dakota;1977;11036,9
Ohio;1977;210121,1
Oklahoma;1977;54007,2
Oregon;1977;48704,3
Pennsylvania;1977;224416,7
Plains;1977;323069,7
Rhode Island;1977;17147
Rocky Mountain;1977;123358
South Carolina;1977;43346,5
South Dakota;1977;10789,1
Southeast;1977;884524,5
Southwest;1977;422182,4
Tennessee;1977;74132,8
Texas;1977;301083,1
Utah;1977;23513,4
Vermont;1977;7234,2
Virginia;1977;105492,2
Washington;1977;87445,6
West Virginia;1977;28811
Wisconsin;1977;85652,6
Wyoming;1977;11019,8
Alabama;1978;63298
Alaska;1978;18450,3
Arizona;1978;49253,9
Arkansas;1978;34765,4
California;1978;559842,6
Colorado;1978;63806,1
Connecticut;1978;74245,9
Delaware;1978;16318,2
District of Columbia;1978;45508,5
Far West;1978;768629,1
Florida;1978;167311,5
Georgia;1978;97101,4
Great Lakes;1978;889022,2
Hawaii;1978;24605,1
Idaho;1978;15992,8
Illinois;1978;263863
Indiana;1978;107395,3
