"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000"
"00000","United States","1","All industry total",11521938.0,12038283.0,12610491.0,13130987.0
"00000","United States","2","  Private industries",9884800.0,10358426.0,10895080.0,11384007.0
"00000","United States","3","    Agriculture, forestry, fishing and hunting",140286.0,136880.0,141020.0,161799.0
"00000","United States","4","      Farms",118101.0,113962.0,116825.0,138244.0
"00000","United States","5","      Forestry, fishing, and related activities",22609.0,23073.0,24198.0,25057.0
"00000","United States","6","    Mining, quarrying, and oil and gas extraction",263964.0,274624.0,266347.0,236200.0
"00000","United States","7","      Oil and gas extraction",203348.0,204308.0,186105.0,137941.0
"00000","United States","8","      Mining (except oil and gas)",76998.0,89572.0,95096.0,93727.0
"00000","United States","9","      Support activities for mining",15440.0,14502.0,13988.0,18965.0
"00000","United States","10","    Utilities",231227.0,220905.0,257343.0,260758.0
"00000","United States","11","    Construction",691353.0,723020.0,752832.0,783315.0
"00000","United States","12","    Manufacturing",1425097.0,1483738.0,1566177.0,1678775.0
"00000","United States","13","      Durable goods manufacturing",582476.0,630370.0,674378.0,753050.0
"00000","United States","14","        Wood product manufacturing",25026.0,25277.0,24874.0,25421.0
"00000","United States","15","        Nonmetallic mineral product manufacturing",48846.0,48500.0,49304.0,49180.0
"00000","United States","16","        Primary metal manufacturing",53657.0,57383.0,60994.0,61733.0
"00000","United States","17","        Fabricated metal product manufacturing",147996.0,144620.0,145986.0,155983.0
"00000","United States","18","        Machinery manufacturing",123009.0,132982.0,126420.0,130091.0
"00000","United States","19","        Computer and electronic product manufacturing",28834.0,36677.0,45131.0,67629.0
"00000","United States","20","        Electrical equipment, appliance, and component manufacturing",56375.0,46981.0,51727.0,54484.0
"00000","United States","21","        Motor vehicles, bodies and trailers, and parts manufacturing",81714.0,91000.0,96737.0,99685.0
"00000","United States","22","        Other transportation equipment manufacturing",95186.0,98309.0,104420.0,95396.0
"00000","United States","23","        Furniture and related product manufacturing",36433.0,36908.0,38538.0,40095.0
"00000","United States","24","        Miscellaneous manufacturing",54633.0,56341.0,58350.0,61018.0
"00000","United States","25","      Nondurable goods manufacturing",941271.0,925219.0,957704.0,966981.0
"00000","United States","26","        Food and beverage and tobacco product manufacturing",226583.0,224500.0,227517.0,225106.0
"00000","United States","27","        Textile mills and textile product mills",28794.0,28273.0,29584.0,30886.0
"00000","United States","28","        Apparel, leather, and allied product manufacturing",23734.0,21287.0,19736.0,20003.0
"00000","United States","29","        Paper manufacturing",77087.0,71627.0,75445.0,70993.0
"00000","United States","30","        Printing and related support activities",35904.0,35862.0,36298.0,37727.0
"00000","United States","31","        Petroleum and coal products manufacturing",178860.0,198396.0,187430.0,184716.0
"00000","United States","32","        Chemical manufacturing",273856.0,263229.0,281940.0,289385.0
"00000","United States","33","        Plastics and rubber products manufacturing",65447.0,66256.0,72515.0,77325.0
"00000","United States","34","    Wholesale trade",678429.0,745093.0,769787.0,809113.0
"00000","United States","35","    Retail trade",698544.0,765667.0,793846.0,820390.0
"00000","United States","36","    Transportation and warehousing",401902.0,422324.0,425830.0,424839.0
"00000","United States","37","      Air transportation",99573.0,95826.0,94090.0,76717.0
"00000","United States","38","      Rail transportation",35411.0,37506.0,39228.0,41564.0
"00000","United States","39","      Water transportation",6139.0,5588.0,4550.0,4910.0
"00000","United States","40","      Truck transportation",114511.0,119144.0,125046.0,129326.0
"00000","United States","41","      Transit and ground passenger transportation",26184.0,26979.0,30161.0,31446.0
"00000","United States","42","      Pipeline transportation",10059.0,16083.0,18030.0,16065.0
"00000","United States","43","      Other transportation and support activities",96663.0,103216.0,98475.0,106393.0
"00000","United States","44","      Warehousing and storage",22802.0,26551.0,25689.0,27384.0
"00000","United States","45","    Information",347441.0,383635.0,429954.0,421977.0
"00000","United States","46","      Publishing industries (except Internet)",113029.0,123185.0,154312.0,126219.0
"00000","United States","47","      Motion picture and sound recording industries",34539.0,42159.0,51213.0,45440.0
"00000","United States","48","      Broadcasting (except Internet) and telecommunications",170961.0,185373.0,201569.0,224555.0
"00000","United States","49","      Data processing, hosting, and other information services",31023.0,35451.0,28746.0,23581.0
"00000","United States","50","    Finance, insurance, real estate, rental, and leasing",2103126.0,2194564.0,2331524.0,2454038.0
"00000","United States","51","      Finance and insurance",692857.0,764242.0,827580.0,904732.0
"00000","United States","52","        Monetary Authorities- central bank, credit intermediation, and related services",266926.0,308430.0,361266.0,361931.0
"00000","United States","53","        Securities, commodity contracts, and other financial investments and related activities",126324.0,128337.0,137162.0,173165.0
"00000","United States","54","        Insurance carriers and related activities",275038.0,297492.0,293940.0,341403.0
"00000","United States","55","        Funds, trusts, and other financial vehicles",15244.0,22428.0,25606.0,18076.0
"00000","United States","56","      Real estate and rental and leasing",1415145.0,1430210.0,1502429.0,1546217.0
"00000","United States","57","        Real estate",1275367.0,1273865.0,1332129.0,1373795.0
"00000","United States","58","        Rental and leasing services and lessors of nonfinancial intangible assets",141792.0,158457.0,172839.0,174954.0
"00000","United States","59","    Professional and business services",1250937.0,1308737.0,1370506.0,1451214.0
"00000","United States","60","      Professional, scientific, and technical services",720298.0,759519.0,801891.0,845296.0
"00000","United States","61","        Legal services",214823.0,222949.0,229658.0,236804.0
"00000","United States","62","        Computer systems design and related services",56969.0,69199.0,79032.0,85998.0
"00000","United States","63","        Miscellaneous professional, scientific, and technical services",485553.0,496886.0,517818.0,544888.0
"00000","United States","64","      Management of companies and enterprises",256083.0,262106.0,262961.0,277327.0
"00000","United States","65","      Administrative and support and waste management and remediation services",287231.0,298894.0,314965.0,337851.0
"00000","United States","66","        Administrative and support services",254891.0,265288.0,279230.0,301736.0
"00000","United States","67","        Waste management and remediation services",32804.0,34080.0,36299.0,36318.0
"00000","United States","68","    Educational services, health care, and social assistance",917644.0,921640.0,952574.0,987772.0
"00000","United States","69","      Educational services",142403.0,140744.0,147186.0,152606.0
"00000","United States","70","      Health care and social assistance",775942.0,781193.0,805982.0,835783.0
"00000","United States","71","        Ambulatory health care services",346610.0,346622.0,356211.0,374650.0
"00000","United States","72","        Hospitals",260181.0,263333.0,272087.0,279021.0
"00000","United States","73","        Nursing and residential care facilities",104977.0,104805.0,107046.0,107983.0
"00000","United States","74","        Social assistance",66252.0,68854.0,73298.0,75956.0
"00000","United States","75","    Arts, entertainment, recreation, accommodation, and food services",489701.0,503104.0,530655.0,562760.0
"00000","United States","76","      Arts, entertainment, and recreation",126391.0,126449.0,131187.0,137807.0
"00000","United States","77","        Performing arts, spectator sports, museums, and related activities",62906.0,66919.0,68425.0,71551.0
"00000","United States","78","        Amusement, gambling, and recreation industries",62674.0,59285.0,62377.0,65819.0
"00000","United States","79","      Accommodation and food services",363518.0,376990.0,399906.0,425492.0
"00000","United States","80","        Accommodation",108732.0,110989.0,117531.0,126606.0
"00000","United States","81","        Food services and drinking places",253845.0,265207.0,281550.0,297813.0
"00000","United States","82","    Other services (except government and government enterprises)",402281.0,419037.0,421720.0,431457.0
"00000","United States","83","  Government and government enterprises",1893202.0,1915229.0,1938271.0,1977617.0
"00000","United States","84","    Federal civilian",352002.2,355749.7,357470.1,365896.3
"00000","United States","85","    Military",270196.6,264828.9,259288.3,257914.8
"00000","United States","86","    State and local",1270743.0,1294812.0,1322062.0,1354501.0
"00000","United States","","Addenda:","","","",""
"00000","United States","87","Natural resources and mining",386210.6,388235.2,388817.1,387835.8
"00000","United States","88","Trade",1379188.5,1513137.4,1566200.9,1631620.5
"00000","United States","89","Transportation and utilities",631727.2,640057.4,681384.7,683679.2
"00000","United States","90","Manufacturing and information",1751113.1,1845980.2,1975979.8,2074114.0
"00000","United States","91","Private goods-producing industries 2/",2461809.0,2556117.0,2678713.0,2838742.0
"00000","United States","92","Private services-providing industries 3/",7426916.0,7807391.0,8221913.0,8550711.0
"01000","Alabama","1","All industry total",144457.3,149613.2,155171.9,157697.7
"01000","Alabama","2","  Private industries",116503.7,121188.1,126393.4,128912.2
"01000","Alabama","3","    Agriculture, forestry, fishing and hunting",2191.0,2427.1,2771.9,2724.3
"01000","Alabama","4","      Farms",1829.6,2070.0,2454.9,2397.1
"01000","Alabama","5","      Forestry, fishing, and related activities",447.6,461.4,461.2,463.5
"01000","Alabama","6","    Mining, quarrying, and oil and gas extraction",3521.2,3992.0,3634.8,3277.0
"01000","Alabama","7","      Oil and gas extraction",1042.3,1136.8,981.1,811.9
"01000","Alabama","8","      Mining (except oil and gas)",2537.7,2944.4,2754.6,2583.5
"01000","Alabama","9","      Support activities for mining",147.4,153.7,126.4,107.6
"01000","Alabama","10","    Utilities",4189.2,4061.5,4755.6,4885.8
"01000","Alabama","11","    Construction",9396.6,10066.0,10241.9,10264.1
"01000","Alabama","12","    Manufacturing",21906.1,22567.9,23626.5,24157.0
"01000","Alabama","13","      Durable goods manufacturing",8782.0,9840.6,10932.8,10797.2
"01000","Alabama","14","        Wood product manufacturing",1107.7,1051.4,1081.6,874.0
"01000","Alabama","15","        Nonmetallic mineral product manufacturing",901.8,906.8,840.5,818.0
"01000","Alabama","16","        Primary metal manufacturing",1649.6,1907.4,2300.4,1958.3
"01000","Alabama","17","        Fabricated metal product manufacturing",2236.8,2217.0,2318.1,2285.8
"01000","Alabama","18","        Machinery manufacturing",830.6,1071.4,1098.1,1117.2
"01000","Alabama","19","        Computer and electronic product manufacturing",169.7,229.2,302.6,340.9
"01000","Alabama","20","        Electrical equipment, appliance, and component manufacturing",698.8,490.3,498.1,532.8
"01000","Alabama","21","        Motor vehicles, bodies and trailers, and parts manufacturing",639.6,1039.4,1171.8,1366.4
"01000","Alabama","22","        Other transportation equipment manufacturing",988.8,1174.2,1456.9,1359.0
"01000","Alabama","23","        Furniture and related product manufacturing",819.5,846.3,957.4,963.7
"01000","Alabama","24","        Miscellaneous manufacturing",439.6,415.9,423.7,425.7
"01000","Alabama","25","      Nondurable goods manufacturing",14960.6,14036.5,13655.5,14567.5
"01000","Alabama","26","        Food and beverage and tobacco product manufacturing",2007.3,2044.2,2123.5,2072.5
"01000","Alabama","27","        Textile mills and textile product mills",1563.2,1548.7,1548.3,1673.9
"01000","Alabama","28","        Apparel, leather, and allied product manufacturing",1045.0,860.5,880.3,738.7
"01000","Alabama","29","        Paper manufacturing",2888.3,3019.9,2758.7,3086.2
"01000","Alabama","30","        Printing and related support activities",310.1,294.5,298.6,299.7
"01000","Alabama","31","        Petroleum and coal products manufacturing",1471.4,1685.3,1160.2,1344.5
"01000","Alabama","32","        Chemical manufacturing",2903.4,2186.7,2196.1,2776.8
"01000","Alabama","33","        Plastics and rubber products manufacturing",1277.3,1188.8,1177.7,1177.8
"01000","Alabama","34","    Wholesale trade",8811.1,9317.3,9439.0,9747.2
"01000","Alabama","35","    Retail trade",10350.3,11310.1,11579.2,11630.9
"01000","Alabama","36","    Transportation and warehousing",4057.6,4476.4,4450.8,4534.2
"01000","Alabama","37","      Air transportation",104.5,115.2,120.2,105.1
"01000","Alabama","38","      Rail transportation",601.5,623.3,647.4,714.2
"01000","Alabama","39","      Water transportation",46.5,50.5,37.6,46.7
"01000","Alabama","40","      Truck transportation",2186.4,2319.1,2397.0,2384.4
"01000","Alabama","41","      Transit and ground passenger transportation",61.7,92.2,109.3,108.6
"01000","Alabama","42","      Pipeline transportation",55.8,128.3,143.5,101.9
"01000","Alabama","43","      Other transportation and support activities",943.9,1068.1,933.4,997.0
"01000","Alabama","44","      Warehousing and storage",239.1,280.7,264.2,279.9
"01000","Alabama","45","    Information",2921.6,2944.9,3103.6,3111.4
"01000","Alabama","46","      Publishing industries (except Internet)",514.8,523.2,619.8,496.5
"01000","Alabama","47","      Motion picture and sound recording industries",31.0,45.6,73.6,41.4
"01000","Alabama","48","      Broadcasting (except Internet) and telecommunications",2210.7,2194.8,2251.7,2441.8
"01000","Alabama","49","      Data processing, hosting, and other information services",136.2,161.1,158.4,81.8
"01000","Alabama","50","    Finance, insurance, real estate, rental, and leasing",20404.2,20454.4,22299.1,23334.7
"01000","Alabama","51","      Finance and insurance",6997.8,6963.9,7976.1,8571.3
"01000","Alabama","52","        Monetary Authorities- central bank, credit intermediation, and related services",4092.0,3868.3,4839.4,5136.6
"01000","Alabama","53","        Securities, commodity contracts, and other financial investments and related activities",374.1,396.3,400.3,459.0
"01000","Alabama","54","        Insurance carriers and related activities",2418.8,2593.3,2603.1,2855.9
"01000","Alabama","55","        Funds, trusts, and other financial vehicles",59.4,73.1,71.4,56.2
"01000","Alabama","56","      Real estate and rental and leasing",13434.6,13525.6,14326.4,14753.0
"01000","Alabama","57","        Real estate",12167.4,12054.0,12748.9,13126.8
"01000","Alabama","58","        Rental and leasing services and lessors of nonfinancial intangible assets",1260.8,1467.8,1574.7,1623.2
"01000","Alabama","59","    Professional and business services",10564.1,11136.0,11430.6,11433.4
"01000","Alabama","60","      Professional, scientific, and technical services",6688.9,7359.3,7552.9,7481.1
"01000","Alabama","61","        Legal services",2304.1,2414.2,2412.1,2434.0
"01000","Alabama","62","        Computer systems design and related services",513.2,649.1,712.0,668.8
"01000","Alabama","63","        Miscellaneous professional, scientific, and technical services",4361.4,4723.5,4811.7,4798.7
"01000","Alabama","64","      Management of companies and enterprises",1294.7,1014.2,1014.1,976.9
"01000","Alabama","65","      Administrative and support and waste management and remediation services",2660.1,2751.7,2844.3,2940.6
"01000","Alabama","66","        Administrative and support services",2362.5,2443.2,2532.4,2644.0
"01000","Alabama","67","        Waste management and remediation services",298.1,309.1,311.2,291.3
"01000","Alabama","68","    Educational services, health care, and social assistance",10613.8,10653.9,10705.6,11098.9
"01000","Alabama","69","      Educational services",849.0,847.9,901.7,926.0
"01000","Alabama","70","      Health care and social assistance",9762.7,9803.1,9809.6,10177.4
"01000","Alabama","71","        Ambulatory health care services",5352.1,5449.8,5435.1,5610.2
"01000","Alabama","72","        Hospitals",2562.0,2486.8,2468.0,2674.3
"01000","Alabama","73","        Nursing and residential care facilities",1177.0,1180.0,1200.8,1185.0
"01000","Alabama","74","        Social assistance",692.3,696.9,721.5,723.4
"01000","Alabama","75","    Arts, entertainment, recreation, accommodation, and food services",4145.2,4352.5,4581.3,4670.9
"01000","Alabama","76","      Arts, entertainment, and recreation",610.4,615.5,627.6,620.8
"01000","Alabama","77","        Performing arts, spectator sports, museums, and related activities",232.4,258.4,242.3,248.3
"01000","Alabama","78","        Amusement, gambling, and recreation industries",376.0,358.6,383.9,372.1
"01000","Alabama","79","      Accommodation and food services",3527.6,3731.3,3949.2,4047.2
"01000","Alabama","80","        Accommodation",575.0,622.2,648.8,685.5
"01000","Alabama","81","        Food services and drinking places",2946.4,3101.0,3293.0,3351.5
"01000","Alabama","82","    Other services (except government and government enterprises)",5002.0,5440.2,5374.5,5390.1
"01000","Alabama","83","  Government and government enterprises",28404.8,28770.8,28992.7,28921.1
"01000","Alabama","84","    Federal civilian",7310.3,7576.0,7471.1,7164.3
"01000","Alabama","85","    Military",3119.3,3046.7,2935.2,2838.9
"01000","Alabama","86","    State and local",17975.1,18145.2,18593.8,18934.8
"01000","Alabama","","Addenda:","","","",""
"01000","Alabama","87","Natural resources and mining",5256.0,5878.8,6133.3,5819.9
"01000","Alabama","88","Trade",19165.3,20643.7,21039.1,21387.5
"01000","Alabama","89","Transportation and utilities",8222.6,8495.0,9161.7,9373.1
"01000","Alabama","90","Manufacturing and information",24748.1,25412.5,26630.4,27151.1
"01000","Alabama","91","Private goods-producing industries 2/",36076.8,37763.8,39313.5,39743.3
"01000","Alabama","92","Private services-providing industries 3/",80471.4,83467.4,87125.3,89212.8
"02000","Alaska","1","All industry total",42339.2,41238.4,40788.2,39566.8
"02000","Alaska","2","  Private industries",34010.2,32977.5,32622.4,31340.2
"02000","Alaska","3","    Agriculture, forestry, fishing and hunting",478.0,383.4,413.7,480.6
"02000","Alaska","4","      Farms",33.9,35.8,41.9,53.5
"02000","Alaska","5","      Forestry, fishing, and related activities",448.3,352.7,378.3,436.3
"02000","Alaska","6","    Mining, quarrying, and oil and gas extraction",17262.5,12810.7,11327.6,9197.7
"02000","Alaska","7","      Oil and gas extraction",17208.3,11433.3,9959.9,7001.2
"02000","Alaska","8","      Mining (except oil and gas)",1500.6,1515.1,1549.3,1343.6
"02000","Alaska","9","      Support activities for mining",576.9,613.0,502.4,841.3
"02000","Alaska","10","    Utilities",541.5,522.0,599.6,595.3
"02000","Alaska","11","    Construction",2279.2,2215.9,2187.9,2168.5
"02000","Alaska","12","    Manufacturing",1793.5,2289.2,1728.6,1523.8
"02000","Alaska","13","      Durable goods manufacturing",120.7,125.3,114.3,118.3
"02000","Alaska","14","        Wood product manufacturing",27.4,32.5,21.9,18.3
"02000","Alaska","15","        Nonmetallic mineral product manufacturing",29.4,30.7,36.5,41.3
"02000","Alaska","16","        Primary metal manufacturing",1.0,0.8,1.5,2.2
"02000","Alaska","17","        Fabricated metal product manufacturing",28.4,26.9,26.1,31.5
"02000","Alaska","18","        Machinery manufacturing",6.1,8.6,6.0,6.2
"02000","Alaska","19","        Computer and electronic product manufacturing",0.2,0.2,0.3,0.5
"02000","Alaska","20","        Electrical equipment, appliance, and component manufacturing",3.1,1.5,0.7,0.7
"02000","Alaska","21","        Motor vehicles, bodies and trailers, and parts manufacturing",2.0,2.6,2.1,0.6
"02000","Alaska","22","        Other transportation equipment manufacturing",6.6,5.2,6.4,7.1
"02000","Alaska","23","        Furniture and related product manufacturing",7.7,6.2,6.3,5.8
"02000","Alaska","24","        Miscellaneous manufacturing",9.0,8.4,7.8,7.6
"02000","Alaska","25","      Nondurable goods manufacturing",1726.6,2261.2,1667.5,1436.3
"02000","Alaska","26","        Food and beverage and tobacco product manufacturing",683.7,685.1,609.1,476.5
"02000","Alaska","27","        Textile mills and textile product mills",4.3,5.6,6.2,6.3
"02000","Alaska","28","        Apparel, leather, and allied product manufacturing",1.6,2.2,1.8,1.8
"02000","Alaska","29","        Paper manufacturing",52.7,16.1,10.4,6.4
