"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010"
"00000","United States","1","All industry total",15338257.0,15626029.0,15604687.0,15208834.0,15598753.0
"00000","United States","2","  Private industries",13402321.0,13625237.0,13540591.0,13128309.0,13467315.0
"00000","United States","3","    Agriculture, forestry, fishing and hunting",199349.0,176569.0,180295.0,199976.0,193856.0
"00000","United States","4","      Farms",165516.0,144582.0,148473.0,170705.0,165055.0
"00000","United States","5","      Forestry, fishing, and related activities",33296.0,30952.0,30863.0,29689.0,29068.0
"00000","United States","6","    Mining, quarrying, and oil and gas extraction",293063.0,315653.0,305545.0,350402.0,309259.0
"00000","United States","7","      Oil and gas extraction",166487.0,179826.0,170607.0,230469.0,181654.0
"00000","United States","8","      Mining (except oil and gas)",84180.0,85895.0,78892.0,74009.0,75348.0
"00000","United States","9","      Support activities for mining",49306.0,55980.0,62507.0,46583.0,52306.0
"00000","United States","10","    Utilities",232840.0,237522.0,250218.0,237222.0,265789.0
"00000","United States","11","    Construction",768400.0,744697.0,672105.0,577194.0,547486.0
"00000","United States","12","    Manufacturing",1995024.0,2060949.0,2019113.0,1833421.0,1932626.0
"00000","United States","13","      Durable goods manufacturing",953544.0,997892.0,1003593.0,859211.0,967686.0
"00000","United States","14","        Wood product manufacturing",25936.0,27087.0,25318.0,21531.0,22921.0
"00000","United States","15","        Nonmetallic mineral product manufacturing",49671.0,49622.0,46759.0,37882.0,38668.0
"00000","United States","16","        Primary metal manufacturing",52327.0,51332.0,53799.0,50187.0,50946.0
"00000","United States","17","        Fabricated metal product manufacturing",153355.0,159227.0,151012.0,114350.0,125516.0
"00000","United States","18","        Machinery manufacturing",138145.0,143710.0,146517.0,118175.0,132126.0
"00000","United States","19","        Computer and electronic product manufacturing",146248.0,168001.0,195779.0,200552.0,226767.0
"00000","United States","20","        Electrical equipment, appliance, and component manufacturing",60926.0,57051.0,61301.0,51153.0,52703.0
"00000","United States","21","        Motor vehicles, bodies and trailers, and parts manufacturing",133848.0,127625.0,99453.0,43308.0,87042.0
"00000","United States","22","        Other transportation equipment manufacturing",106881.0,125023.0,124285.0,121181.0,124257.0
"00000","United States","23","        Furniture and related product manufacturing",39753.0,36112.0,30913.0,22521.0,22607.0
"00000","United States","24","        Miscellaneous manufacturing",73038.0,74254.0,79176.0,81035.0,84117.0
"00000","United States","25","      Nondurable goods manufacturing",1060326.0,1077494.0,1021550.0,992760.0,972311.0
"00000","United States","26","        Food and beverage and tobacco product manufacturing",252511.0,254876.0,241594.0,246935.0,233280.0
"00000","United States","27","        Textile mills and textile product mills",24030.0,22977.0,21461.0,16668.0,16615.0
"00000","United States","28","        Apparel, leather, and allied product manufacturing",12945.0,11962.0,11806.0,9621.0,10590.0
"00000","United States","29","        Paper manufacturing",68944.0,64709.0,57775.0,60557.0,55759.0
"00000","United States","30","        Printing and related support activities",42301.0,43444.0,42892.0,36965.0,37520.0
"00000","United States","31","        Petroleum and coal products manufacturing",250300.0,253376.0,271750.0,253657.0,212652.0
"00000","United States","32","        Chemical manufacturing",355361.0,372892.0,337635.0,326659.0,346536.0
"00000","United States","33","        Plastics and rubber products manufacturing",73456.0,74500.0,64642.0,63867.0,67635.0
"00000","United States","34","    Wholesale trade",984876.0,1018028.0,1016971.0,894636.0,947884.0
