STATE;Alpha Code;YEAR;Electoral votes
Alabama;AL;1980;9
Alabama;AL;1984;9
Alabama;AL;1988;9
Alabama;AL;1992;9
Alabama;AL;1996;9
Alabama;AL;2000;9
Alabama;AL;2004;9
Alabama;AL;2008;9
Alabama;AL;2012;9
Alabama;AL;2016;9
Alaska;AK;1980;3
Alaska;AK;1984;3
Alaska;AK;1988;3
Alaska;AK;1992;3
Alaska;AK;1996;3
Alaska;AK;2000;3
Alaska;AK;2004;3
Alaska;AK;2008;3
Alaska;AK;2012;3
Alaska;AK;2016;3
Arizona;AZ;1980;6
Arizona;AZ;1984;7
Arizona;AZ;1988;7
Arizona;AZ;1992;8
Arizona;AZ;1996;8
Arizona;AZ;2000;8
Arizona;AZ;2004;10
Arizona;AZ;2008;10
Arizona;AZ;2012;11
Arizona;AZ;2016;11
Arkansas;AR;1980;6
Arkansas;AR;1984;6
Arkansas;AR;1988;6
Arkansas;AR;1992;6
Arkansas;AR;1996;6
Arkansas;AR;2000;6
Arkansas;AR;2004;6
Arkansas;AR;2008;6
Arkansas;AR;2012;6
Arkansas;AR;2016;6
California;CA;1980;45
California;CA;1984;47
California;CA;1988;47
California;CA;1992;54
California;CA;1996;54
California;CA;2000;54
California;CA;2004;55
California;CA;2008;55
California;CA;2012;55
California;CA;2016;55
Colorado;CO;1980;7
Colorado;CO;1984;8
Colorado;CO;1988;8
Colorado;CO;1992;8
Colorado;CO;1996;8
Colorado;CO;2000;8
Colorado;CO;2004;9
Colorado;CO;2008;9
Colorado;CO;2012;9
Colorado;CO;2016;9
Connecticut;CT;1980;8
Connecticut;CT;1984;8
Connecticut;CT;1988;8
Connecticut;CT;1992;8
Connecticut;CT;1996;8
Connecticut;CT;2000;8
Connecticut;CT;2004;7
Connecticut;CT;2008;7
Connecticut;CT;2012;7
Connecticut;CT;2016;7
Delaware;DE;1980;3
Delaware;DE;1984;3
Delaware;DE;1988;3
Delaware;DE;1992;3
Delaware;DE;1996;3
Delaware;DE;2000;3
Delaware;DE;2004;3
Delaware;DE;2008;3
Delaware;DE;2012;3
Delaware;DE;2016;3
District of Columbia;DC;1980;3
District of Columbia;DC;1984;3
District of Columbia;DC;1988;3
District of Columbia;DC;1992;3
District of Columbia;DC;1996;3
District of Columbia;DC;2000;3
District of Columbia;DC;2004;3
District of Columbia;DC;2008;3
District of Columbia;DC;2012;3
District of Columbia;DC;2016;3
Florida;FL;1980;17
Florida;FL;1984;21
Florida;FL;1988;21
Florida;FL;1992;25
Florida;FL;1996;25
Florida;FL;2000;25
Florida;FL;2004;27
Florida;FL;2008;27
Florida;FL;2012;29
Florida;FL;2016;29
Georgia;GA;1980;12
Georgia;GA;1984;12
