state;year;Vp;I;DPER;DUR;G;P;Z
AK;1976;0.38;-1;0;-1;;;
AK;1980;0.33;1;1;0;0.1634;0.52;3
AK;1984;0.31;-1;-1;0;-0.0477;0.06;0
AK;1988;0.38;-1;0;-1;-0.0041;0.11;0
AK;1992;0.43;-1;-1;-1;-0.0277;0.08;0
AK;1996;0.4;1;1;0;-0.0024;0.11;0
AK;2000;0.32;1;0;1;0.0003;0.11;0
AK;2004;0.37;-1;-1;0;0.0018;0.16;0
AK;2008;0.39;-1;0;-1;-0.0055;0.23;0
AK;2012;0.43;1;1;0;-0.0108;0.12;0
AK;2016;0.42;1;0;1;0.0039;0.1;0
AL;1976;0.57;-1;0;-1;;;
AL;1980;0.49;1;1;0;0.0006;0.24;2
AL;1984;0.39;-1;-1;0;0.0425;0.16;1
AL;1988;0.4;-1;0;-1;0.0454;0.09;3
AL;1992;0.46;-1;-1;-1;0.0292;0.1;0
AL;1996;0.46;1;1;0;0.026;0.07;0
AL;2000;0.42;1;0;1;0.0077;0.06;0
AL;2004;0.37;-1;-1;0;0.0581;0.06;1
AL;2008;0.39;-1;0;-1;0.0026;0.08;0
AL;2012;0.39;1;1;0;-0.0031;0.05;0
AL;2016;0.36;1;0;1;0.0087;0.05;0
AR;1976;0.65;-1;0;-1;;;
AR;1980;0.5;1;1;0;0.0005;0.24;2
AR;1984;0.39;-1;-1;0;0.0719;0.15;1
AR;1988;0.43;-1;0;-1;0.0382;0.09;1
AR;1992;0.6;-1;-1;-1;0.045;0.08;2
AR;1996;0.59;1;1;0;0.03;0.06;1
AR;2000;0.47;1;0;1;-0.0018;0.06;1
AR;2004;0.45;-1;-1;0;0.0369;0.08;2
AR;2008;0.4;-1;0;-1;-0.0024;0.08;0
AR;2012;0.38;1;1;0;-0.0002;0.05;0
AR;2016;0.36;1;0;1;0.0009;0.03;0
AZ;1976;0.41;-1;0;-1;;;
AZ;1980;0.32;1;1;0;0.0008;0.25;3
AZ;1984;0.33;-1;-1;0;0.0721;0.16;1
AZ;1988;0.39;-1;0;-1;0.0187;0.11;0
AZ;1992;0.49;-1;-1;-1;0.0659;0.08;1
AZ;1996;0.51;1;1;0;0.0427;0.06;2
AZ;2000;0.47;1;0;1;0.0215;0.1;2
AZ;2004;0.45;-1;-1;0;0.016;0.04;1
AZ;2008;0.46;-1;0;-1;-0.0176;0.07;0
AZ;2012;0.45;1;1;0;-0.0015;0.04;0
AZ;2016;0.48;1;0;1;0.0062;0.05;0
CA;1976;0.49;-1;0;-1;;;
CA;1980;0.41;1;1;0;0.0121;0.24;2
CA;1984;0.42;-1;-1;0;0.06;0.17;1
CA;1988;0.48;-1;0;-1;0.0311;0.09;1
CA;1992;0.59;-1;-1;-1;-0.0146;0.09;0
CA;1996;0.57;1;1;0;0.0296;0.07;0
CA;2000;0.56;1;0;1;0.0627;0.03;4
CA;2004;0.55;-1;-1;0;0.0306;0.06;1
CA;2008;0.62;-1;0;-1;-0.0023;0.07;1
CA;2012;0.62;1;1;0;0.0076;0.05;0
CA;2016;0.66;1;0;1;0.027;0.04;2
CO;1976;0.44;-1;0;-1;;;
CO;1980;0.36;1;1;0;0.0218;0.25;3
CO;1984;0.36;-1;-1;0;0.0452;0.18;1
CO;1988;0.46;-1;0;-1;0.0301;0.09;0
CO;1992;0.53;-1;-1;-1;0.0359;0.1;1
CO;1996;0.49;1;1;0;0.029;0.06;1
CO;2000;0.46;1;0;1;0.0521;0.05;4
CO;2004;0.48;-1;-1;0;-0.0002;0.08;0
CO;2008;0.55;-1;0;-1;-0.0093;0.08;0
CO;2012;0.53;1;1;0;0.0047;0.05;0
CO;2016;0.53;1;0;1;0.006;0.02;0
CT;1976;0.47;-1;0;-1;;;
CT;1980;0.44;1;1;0;0.0169;0.23;3
CT;1984;0.39;-1;-1;0;0.0857;0.2;2
CT;1988;0.47;-1;0;-1;0.0456;0.1;4
CT;1992;0.54;-1;-1;-1;0.0071;0.1;0
CT;1996;0.6;1;1;0;0.0224;0.08;1
CT;2000;0.59;1;0;1;0.0614;0.05;2
CT;2004;0.55;-1;-1;0;0.062;0.06;1
CT;2008;0.61;-1;0;-1;-0.0049;0.08;0
CT;2012;0.59;1;1;0;0.006;0.05;0
CT;2016;0.57;1;0;1;0.0117;0.06;0
DC;1976;0.83;-1;0;-1;;;
DC;1980;0.85;1;1;0;0.0358;0.26;3
DC;1984;0.86;-1;-1;0;0.0005;0.22;0
DC;1988;0.85;-1;0;-1;0.0544;0.15;1
DC;1992;0.9;-1;-1;-1;0.0074;0.14;1
DC;1996;0.9;1;1;0;0.0146;0.1;0
DC;2000;0.9;1;0;1;0.0043;0.09;1
DC;2004;0.91;-1;-1;0;0.0526;0.11;3
DC;2008;0.93;-1;0;-1;0.0221;0.09;0
DC;2012;0.93;1;1;0;-0.0179;0.05;0
DC;2016;0.96;1;0;1;0.0051;0.06;0
DE;1976;0.53;-1;0;-1;;;
DE;1980;0.49;1;1;0;0.0138;0.29;1
DE;1984;0.4;-1;-1;0;0.0634;0.15;2
DE;1988;0.44;-1;0;-1;0.0287;0.11;2
DE;1992;0.55;-1;-1;-1;-0.0164;0.13;1
DE;1996;0.59;1;1;0;0.0033;0.09;1
DE;2000;0.57;1;0;1;0.028;0.05;3
DE;2004;0.54;-1;-1;0;-0.0091;0.08;0
DE;2008;0.63;-1;0;-1;-0.0132;0.07;0
DE;2012;0.59;1;1;0;-0.0007;0.06;0
DE;2016;0.56;1;0;1;-0.0038;0.07;0
FL;1976;0.53;-1;0;-1;;;
FL;1980;0.41;1;1;0;0.0194;0.27;1
FL;1984;0.35;-1;-1;0;0.0558;0.17;1
FL;1988;0.39;-1;0;-1;0.0354;0.12;2
FL;1992;0.49;-1;-1;-1;0.016;0.1;0
FL;1996;0.53;1;1;0;0.0291;0.06;0
FL;2000;0.5;1;0;1;0.0249;0.06;1
FL;2004;0.47;-1;-1;0;0.0346;0.08;1
FL;2008;0.51;-1;0;-1;-0.0059;0.08;0
FL;2012;0.5;1;1;0;-0.0117;0.04;0
FL;2016;0.49;1;0;1;0.0138;0.06;0
GA;1976;0.67;-1;0;-1;;;
GA;1980;0.58;1;1;0;-0.0019;0.21;2
GA;1984;0.4;-1;-1;0;0.0773;0.16;2
